Name,x,y,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
54,-119.0325,45.0129,1039,2024-03,31.14,-1.6,4.3,10.2,-2.3,0.59,8.27
54,-119.0325,45.0129,1039,2024-04,25.33,-0.2,6.7,13.6,-0.4,0.7,10.3
54,-119.0325,45.0129,1039,2024-05,65.95,2.3,9.3,16.3,1.7,0.83,13.01
54,-119.0325,45.0129,1039,2024-06,11.17,6.6,15.6,24.5,3.7,2.01,24.69
54,-119.0325,45.0129,1039,2024-07,3.97,11.2,21.7,32.2,3.4,5.9,42.2
54,-119.0325,45.0129,1039,2024-08,23.7,9.9,19.5,29,5.3,3.58,33.4
54,-119.0325,45.0129,1039,2024-09,13.96,8.2,17.2,26.1,4,3.06,28.22
54,-119.0325,45.0129,1039,2024-10,18.76,2.2,10.5,18.7,0.1,1.73,16.84
,,,,,,,,,,,
57,-119.4349,44.9472,945,2010-02,15.36,-0.9,3.8,8.6,-1.1,0.47,5.58
57,-119.4349,44.9472,945,2010-03,18.5,-1.5,5.3,12,-2.7,0.82,9.57
57,-119.4349,44.9472,945,2010-04,42.59,0,6.7,13.4,-0.8,0.79,10.69
57,-119.4349,44.9472,945,2010-05,63.13,2.4,9,15.6,1.7,0.93,12.22
57,-119.4349,44.9472,945,2010-06,80.56,6.9,14.1,21.2,6.9,1.16,16.68
57,-119.4349,44.9472,945,2010-07,6.37,9.4,19.1,28.8,4.6,3.47,33.31
57,-119.4349,44.9472,945,2010-08,3.41,8.9,18.7,28.6,3.7,3.22,33.19
57,-119.4349,44.9472,945,2010-09,24.27,7,15.4,23.8,5.8,1.29,22.07
57,-119.4349,44.9472,945,2010-10,47.07,3.8,10.7,17.5,2.6,1.3,14.01
57,-119.4349,44.9472,945,2010-11,41.95,-1.6,3,7.7,-1.3,0.53,4.84
57,-119.4349,44.9472,945,2010-12,64.03,-2.5,1.3,5.2,-2.4,0.34,3.39
57,-119.4349,44.9472,945,2011-01,25.38,-3.6,1.1,5.8,-2.9,0.45,4.03
57,-119.4349,44.9472,945,2011-02,21.27,-4.9,0.2,5.4,-5.2,0.54,5.03
57,-119.4349,44.9472,945,2011-03,36.49,-0.8,4.1,9,-1,0.45,5.89
57,-119.4349,44.9472,945,2011-04,29.7,-1.1,4.7,10.4,-1.4,0.5,7.64
57,-119.4349,44.9472,945,2011-05,94.05,2.3,8.7,15.1,2.2,0.65,10.72
57,-119.4349,44.9472,945,2011-06,48.25,5.9,13.4,20.9,5.2,1.01,17.19
57,-119.4349,44.9472,945,2011-07,11.5,8.3,17.8,27.3,5,2.52,28.74
57,-119.4349,44.9472,945,2011-08,2.98,10.4,20.7,30.9,3.5,4.49,38.19
57,-119.4349,44.9472,945,2011-09,0.28,8.7,18.4,28.2,1.4,4.56,33.89
57,-119.4349,44.9472,945,2011-10,35.6,3.2,10.2,17.1,2.4,0.9,13.24
57,-119.4349,44.9472,945,2011-11,11.61,-1.6,3.6,8.8,-3.2,0.77,6.78
57,-119.4349,44.9472,945,2011-12,16.91,-4.4,0.9,6.1,-5.2,0.61,5.16
57,-119.4349,44.9472,945,2012-01,35.66,-3.1,1.9,7,-4.8,0.69,6.25
57,-119.4349,44.9472,945,2012-02,9.94,-3,2.3,7.5,-3.8,0.6,6
57,-119.4349,44.9472,945,2012-03,30.14,-1.2,4.7,10.5,-2.4,0.64,8.1
57,-119.4349,44.9472,945,2012-04,58.86,1.7,8.8,16,0.9,0.83,12.97
57,-119.4349,44.9472,945,2012-05,27.67,3,11,19,0.5,1.62,17
57,-119.4349,44.9472,945,2012-06,66.1,6.4,14,21.5,5.5,1.07,18.44
57,-119.4349,44.9472,945,2012-07,34.25,10.5,20.2,29.9,7.1,2.99,33.1
57,-119.4349,44.9472,945,2012-08,0,10.5,21.1,31.8,2.7,4.84,41.25
57,-119.4349,44.9472,945,2012-09,0,7.6,17.7,27.8,-0.3,4.13,32.62
57,-119.4349,44.9472,945,2012-10,30.38,2.2,9.6,17,0.1,1.31,14.17
57,-119.4349,44.9472,945,2012-11,32.54,0.6,5.4,10.1,1.2,0.41,6.48
57,-119.4349,44.9472,945,2012-12,28.4,-3.1,0.5,4.2,-2.7,0.33,3.27
57,-119.4349,44.9472,945,2013-01,25.75,-5.8,-0.9,4,-5.8,0.49,4.31
57,-119.4349,44.9472,945,2013-02,6.39,-3.3,2.1,7.6,-2.8,0.4,5.36
57,-119.4349,44.9472,945,2013-03,16.86,-1.1,5.2,11.5,-1.4,0.57,8.54
57,-119.4349,44.9472,945,2013-04,19.83,0.6,7.5,14.3,-0.4,0.92,11.26
57,-119.4349,44.9472,945,2013-05,36.03,4.4,12.1,19.9,3,1.45,17.41
57,-119.4349,44.9472,945,2013-06,41.76,7.9,15.4,23,6.2,1.63,19.51
57,-119.4349,44.9472,945,2013-07,0,11.9,22.1,32.3,2.8,6.85,42.33
57,-119.4349,44.9472,945,2013-08,14.89,11.3,20.8,30.3,6.9,3.53,34.91
57,-119.4349,44.9472,945,2013-09,62.55,8.4,16.1,23.8,6.8,1.76,22.47
57,-119.4349,44.9472,945,2013-10,24.3,0.9,7.9,14.8,1.1,0.8,10.87
57,-119.4349,44.9472,945,2013-11,13.57,-1.2,3.9,9,-1.9,0.72,6
57,-119.4349,44.9472,945,2013-12,15.66,-6.7,-1.6,3.6,-6.5,0.57,4.04
57,-119.4349,44.9472,945,2014-01,17.45,-2.7,2.3,7.4,-3.8,0.79,5.7
57,-119.4349,44.9472,945,2014-02,30.72,-4.2,0,4.3,-3.4,0.34,3.64
57,-119.4349,44.9472,945,2014-03,47.72,-0.6,5.7,12,-1.2,0.7,8.84
57,-119.4349,44.9472,945,2014-04,34.85,0.9,7.8,14.7,-0.1,0.82,11.6
57,-119.4349,44.9472,945,2014-05,22.68,4.3,12.4,20.5,3,1.32,18.09
57,-119.4349,44.9472,945,2014-06,34.12,7,15.1,23.2,4.8,1.67,21.48
57,-119.4349,44.9472,945,2014-07,9.8,12.7,22.5,32.3,5.8,5.52,41.3
57,-119.4349,44.9472,945,2014-08,47.92,11.6,20.7,29.8,6.8,3.99,34
57,-119.4349,44.9472,945,2014-09,4.14,7.9,16.6,25.2,3.1,2.86,25.67
57,-119.4349,44.9472,945,2014-10,15.18,5.7,12.8,20,3,1.91,17.26
57,-119.4349,44.9472,945,2014-11,28.42,-2.1,3.1,8.3,-1.3,0.48,5.69
57,-119.4349,44.9472,945,2014-12,37.62,-1.9,2,5.9,-1,0.34,3.65
57,-119.4349,44.9472,945,2015-01,7.78,-2.1,2.7,7.5,-1.4,0.42,4.87
57,-119.4349,44.9472,945,2015-02,21.85,0.3,5.6,10.9,-0.4,0.74,7.36
57,-119.4349,44.9472,945,2015-03,10.87,0.6,7.8,15,-0.3,0.93,11.83
57,-119.4349,44.9472,945,2015-04,12.86,0.1,7.6,15,-1.1,0.94,12.7
57,-119.4349,44.9472,945,2015-05,49.16,5.6,12.9,20.1,4.3,1.18,16
57,-119.4349,44.9472,945,2015-06,12.11,11,20,29,5.8,4.07,33.16
57,-119.4349,44.9472,945,2015-07,17.15,12.4,21.5,30.6,6.1,4.87,36.5
57,-119.4349,44.9472,945,2015-08,3.02,11.2,20.9,30.6,3.4,5.44,37.81
57,-119.4349,44.9472,945,2015-09,8.82,6.1,15.1,24,2.2,2.54,24.5
57,-119.4349,44.9472,945,2015-10,13.98,5.8,13.2,20.6,3.9,1.46,17.39
57,-119.4349,44.9472,945,2015-11,33.2,-2.5,2.5,7.5,-1.7,0.41,5.42
57,-119.4349,44.9472,945,2015-12,56.06,-2.6,0.9,4.4,-2.6,0.34,3.42
57,-119.4349,44.9472,945,2016-01,24.41,-3,1.5,6,-2.7,0.39,4.09
57,-119.4349,44.9472,945,2016-02,16.56,-0.5,5.3,11.1,-0.3,0.51,7.47
57,-119.4349,44.9472,945,2016-03,34.14,-0.1,5.5,11.2,-0.2,0.56,7.59
57,-119.4349,44.9472,945,2016-04,14.08,3.3,11.1,18.8,2.3,1.15,16.03
57,-119.4349,44.9472,945,2016-05,50.92,5.1,12.6,20,4.1,1.13,16.2
57,-119.4349,44.9472,945,2016-06,24.22,7.9,16.7,25.4,5.2,2.43,26.54
57,-119.4349,44.9472,945,2016-07,16.75,10,19.1,28.2,5.8,3.18,31.24
57,-119.4349,44.9472,945,2016-08,4.71,9.8,19.9,30,3.2,4.37,36.59
57,-119.4349,44.9472,945,2016-09,14.48,6.1,14.4,22.6,3.3,1.79,21.25
57,-119.4349,44.9472,945,2016-10,49.72,4.1,9.9,15.6,4,0.7,10.2
57,-119.4349,44.9472,945,2016-11,14.61,2.6,7.5,12.4,1.6,0.96,8.19
57,-119.4349,44.9472,945,2016-12,40.56,-7.6,-3.3,1,-6.3,0.32,2.36
57,-119.4349,44.9472,945,2017-01,23.77,-8.8,-4.2,0.4,-7.4,0.29,2.38
57,-119.4349,44.9472,945,2017-02,31.17,-2.8,1.8,6.4,-2.9,0.53,5.01
57,-119.4349,44.9472,945,2017-03,50.08,0.5,5.9,11.3,1,0.41,7.1
57,-119.4349,44.9472,945,2017-04,51,0.6,6.7,12.7,0.4,0.58,8.92
57,-119.4349,44.9472,945,2017-05,20.75,4.4,12.3,20.2,4,1.11,17.43
57,-119.4349,44.9472,945,2017-06,23.18,8,16.1,24.2,6,2,22.99
57,-119.4349,44.9472,945,2017-07,0,12,22.2,32.5,3.9,5.59,42.31
57,-119.4349,44.9472,945,2017-08,6.63,12.1,22.2,32.2,4.1,5.8,42.17
57,-119.4349,44.9472,945,2017-09,14.26,8.3,16.6,24.8,3.3,3.51,26.95
57,-119.4349,44.9472,945,2017-10,31.94,1.6,8.6,15.5,1,0.76,11.66
57,-119.4349,44.9472,945,2017-11,28.23,-0.3,4.8,9.8,-0.1,0.48,6.39
57,-119.4349,44.9472,945,2017-12,18.33,-5,-0.7,3.6,-4.4,0.42,3.45
57,-119.4349,44.9472,945,2018-01,21.07,-1.2,3.1,7.3,-0.9,0.41,4.6
57,-119.4349,44.9472,945,2018-02,16.86,-4.8,0.3,5.3,-4.5,0.52,4.86
57,-119.4349,44.9472,945,2018-03,47.25,-1.8,4.2,10.3,-1.9,0.51,7.64
57,-119.4349,44.9472,945,2018-04,52.01,1,7.8,14.6,0.6,0.73,11.35
57,-119.4349,44.9472,945,2018-05,47.56,6.9,14.3,21.7,6.2,1.04,17.39
57,-119.4349,44.9472,945,2018-06,33.49,7.4,15.4,23.3,5.4,1.59,21.24
57,-119.4349,44.9472,945,2018-07,0,11.6,21.7,31.7,3.5,5.77,41.29
57,-119.4349,44.9472,945,2018-08,16.76,10.7,20.3,29.8,4.2,4.85,36.52
57,-119.4349,44.9472,945,2018-09,0.71,5.4,14.5,23.6,1.3,2.44,23.77
57,-119.4349,44.9472,945,2018-10,48.46,2.5,9.4,16.4,1.5,1.22,12.44
57,-119.4349,44.9472,945,2018-11,20.05,-1.1,4.3,9.8,-1.2,0.66,6.44
57,-119.4349,44.9472,945,2018-12,45.12,-3.8,0.3,4.4,-2.8,0.31,3.42
57,-119.4349,44.9472,945,2019-01,34.18,-2.9,1.9,6.6,-3.3,0.65,4.87
57,-119.4349,44.9472,945,2019-02,100.97,-6.3,-2.1,2.1,-5.2,0.26,2.72
57,-119.4349,44.9472,945,2019-03,37.5,-4.3,2.4,9,-3.7,0.5,7.48
57,-119.4349,44.9472,945,2019-04,64.26,2.4,8.3,14.2,2.3,0.67,9.78
57,-119.4349,44.9472,945,2019-05,61.05,5.4,12.4,19.3,3.8,1.41,15.51
57,-119.4349,44.9472,945,2019-06,15.47,7.5,15.9,24.2,4.6,2.27,23.35
57,-119.4349,44.9472,945,2019-07,4.72,9.8,19,28.2,5.7,3.12,30.53
57,-119.4349,44.9472,945,2019-08,17.79,11.3,20.6,29.8,6.7,3.7,34.14
57,-119.4349,44.9472,945,2019-09,41.78,7.7,15.1,22.5,6.4,1.39,20.89
57,-119.4349,44.9472,945,2019-10,19.14,-0.8,6.2,13.1,-2.7,1.06,10.89
57,-119.4349,44.9472,945,2019-11,9.68,-1.3,4.7,10.7,-2.3,0.88,8.06
57,-119.4349,44.9472,945,2019-12,19.75,-2.5,1.5,5.6,-2.5,0.51,3.87
57,-119.4349,44.9472,945,2020-01,46.53,-1.8,2.3,6.3,-2.1,0.57,4.47
57,-119.4349,44.9472,945,2020-02,38.81,-3.3,2.6,8.6,-3.7,0.67,6.84
57,-119.4349,44.9472,945,2020-03,33.67,-1.9,4.2,10.3,-2.6,0.62,8.17
57,-119.4349,44.9472,945,2020-04,20.24,0.7,8.1,15.5,-0.9,1.08,12.95
57,-119.4349,44.9472,945,2020-05,76.41,4.5,12.1,19.7,3.8,0.97,16.64
57,-119.4349,44.9472,945,2020-06,47.5,7.9,15.4,22.9,6,1.66,20.68
57,-119.4349,44.9472,945,2020-07,0.96,9.7,19.6,29.6,4.5,3.85,35.43
57,-119.4349,44.9472,945,2020-08,2.4,10.9,20.8,30.8,4.1,4.85,37.93
57,-119.4349,44.9472,945,2020-09,8.12,8.5,17.8,27.1,1.7,4.29,31.05
57,-119.4349,44.9472,945,2020-10,13.22,3.1,11.2,19.3,0.3,2.23,18.32
57,-119.4349,44.9472,945,2020-11,63.66,-1.4,4.2,9.8,-1.8,0.74,7.45
57,-119.4349,44.9472,945,2020-12,27.91,-3.1,1.5,6.2,-3.4,0.51,4.69
57,-119.4349,44.9472,945,2021-01,29.98,-2.6,1.7,6.1,-2.8,0.55,4.44
57,-119.4349,44.9472,945,2021-02,62.42,-4.1,0.4,4.9,-4.4,0.59,4.41
57,-119.4349,44.9472,945,2021-03,15.24,-1.9,4.6,11.1,-3.5,0.79,9.09
57,-119.4349,44.9472,945,2021-04,11.74,-0.2,8.1,16.3,-3.7,1.75,14.96
57,-119.4349,44.9472,945,2021-05,27.81,4.3,11.9,19.6,1,1.93,17.94
57,-119.4349,44.9472,945,2021-06,8.21,11.2,19.8,28.4,5.4,5.39,33.46
57,-119.4349,44.9472,945,2021-07,2.88,14.5,24,33.4,3.2,8.92,45.69
57,-119.4349,44.9472,945,2021-08,2.32,11.8,20.8,29.8,5.2,5.73,35.67
57,-119.4349,44.9472,945,2021-09,28.63,7.5,16.2,25,2.4,3.08,26.36
57,-119.4349,44.9472,945,2021-10,26.43,3.3,10,16.7,0.8,1.32,12.8
57,-119.4349,44.9472,945,2021-11,35.53,0.5,5.7,10.8,0.5,0.61,6.65
57,-119.4349,44.9472,945,2021-12,52.27,-3.4,0.9,5.1,-3.1,0.4,4.21
57,-119.4349,44.9472,945,2022-01,49.25,-4.2,1.1,6.5,-5,0.72,5.24
57,-119.4349,44.9472,945,2022-02,17.23,-5,1.6,8.1,-5.5,0.59,7.29
57,-119.4349,44.9472,945,2022-03,35.71,-0.1,5.9,11.9,-0.2,0.57,8.45
57,-119.4349,44.9472,945,2022-04,51.73,-1.4,4.8,11,-2.4,0.56,9.13
57,-119.4349,44.9472,945,2022-05,74.29,2.5,9,15.5,2.5,0.54,11.19
57,-119.4349,44.9472,945,2022-06,80.79,7.8,15.1,22.5,6.6,1.37,19.12
57,-119.4349,44.9472,945,2022-07,14.09,12.6,22.1,31.6,5.9,5.43,39.56
57,-119.4349,44.9472,945,2022-08,2.56,13.7,23.4,33.1,5.6,6.57,43.25
57,-119.4349,44.9472,945,2022-09,10.58,9.2,18.3,27.5,2.7,4.42,31.51
57,-119.4349,44.9472,945,2022-10,32.21,5.5,13.3,21,1,2.69,20.42
57,-119.4349,44.9472,945,2022-11,48.32,-4.3,0.7,5.7,-4.5,0.47,4.8
57,-119.4349,44.9472,945,2022-12,46.95,-5.3,-0.9,3.4,-5.1,0.42,3.47
57,-119.4349,44.9472,945,2023-01,14.93,-3.9,0.9,5.6,-3.7,0.56,4.32
57,-119.4349,44.9472,945,2023-02,17.74,-5.2,0.8,6.8,-6.2,0.79,6.16
57,-119.4349,44.9472,945,2023-03,63.57,-3.9,1.8,7.6,-4,0.47,6.09
57,-119.4349,44.9472,945,2023-04,53.06,0.2,6.6,13,-0.8,0.86,10.49
57,-119.4349,44.9472,945,2023-05,60.67,6.9,14.3,21.7,5.7,1.42,18.29
57,-119.4349,44.9472,945,2023-06,19.02,8.3,16.4,24.5,4.9,2.55,23.5
57,-119.4349,44.9472,945,2023-07,0,12.7,22.2,31.7,3.8,6.78,40.55
57,-119.4349,44.9472,945,2023-08,23.12,13.1,21.4,29.7,7,5.08,33.94
57,-119.4349,44.9472,945,2023-09,23.75,8.1,15.8,23.4,4.4,2.37,22.78
57,-119.4349,44.9472,945,2023-10,40.66,4.2,10.5,16.8,3,1.4,13.19
57,-119.4349,44.9472,945,2023-11,35.4,-0.4,4.7,9.8,-0.9,0.62,6.5
57,-119.4349,44.9472,945,2023-12,51.26,-0.7,3.2,7,-1,0.67,4.33
57,-119.4349,44.9472,945,2024-01,78.76,-3.5,0.5,4.4,-2.5,0.32,3.27
57,-119.4349,44.9472,945,2024-02,38.22,-1.2,3.3,7.8,-1,0.54,5.12
57,-119.4349,44.9472,945,2024-03,30.94,-0.5,5.2,11,-1.8,0.81,8.63
57,-119.4349,44.9472,945,2024-04,22.27,0.6,7.2,13.8,0.2,0.78,10.2
57,-119.4349,44.9472,945,2024-05,55.25,3.2,10.1,17,2.1,1.21,13.54
57,-119.4349,44.9472,945,2024-06,9.8,7.9,16.5,25.2,4,2.81,25.5
57,-119.4349,44.9472,945,2024-07,2.84,13.2,22.9,32.7,3.7,7.98,43.17
57,-119.4349,44.9472,945,2024-08,13.08,11.5,20.3,29,5.5,5.06,33.19
57,-119.4349,44.9472,945,2024-09,14.29,9.9,18.1,26.3,4.1,4.45,28.11
57,-119.4349,44.9472,945,2024-10,14.76,3.5,11.1,18.6,0.7,1.98,16.38
,,,,,,,,,,,
59,-122.0353,43.4933,1818,2010-02,98.18,-5.1,-1.7,1.6,-5.2,0.2,2.32
59,-122.0353,43.4933,1818,2010-03,193.48,-6.3,-1.3,3.7,-6.9,0.47,4.03
59,-122.0353,43.4933,1818,2010-04,163.82,-5.9,-0.5,4.8,-5.8,0.3,4.64
59,-122.0353,43.4933,1818,2010-05,123.68,-3,2.2,7.4,-3.1,0.41,5.3
59,-122.0353,43.4933,1818,2010-06,126.79,0.3,6.9,13.4,1.3,0.32,7.98
59,-122.0353,43.4933,1818,2010-07,10.25,5,13.6,22.2,1.2,2.56,20.22
59,-122.0353,43.4933,1818,2010-08,16.45,4.3,12.4,20.5,0.6,2.54,19.11
59,-122.0353,43.4933,1818,2010-09,73.78,3.1,9.6,16.1,2.1,1.23,11.39
59,-122.0353,43.4933,1818,2010-10,151.69,0,5.6,11.2,-1.2,1.39,8.59
59,-122.0353,43.4933,1818,2010-11,222.03,-5.2,-1.8,1.7,-3.8,0.26,2.45
59,-122.0353,43.4933,1818,2010-12,390.43,-5.8,-3.2,-0.5,-4.9,0.19,1.21
59,-122.0353,43.4933,1818,2011-01,197.55,-6.4,-2.4,1.6,-6.2,0.42,3.15
59,-122.0353,43.4933,1818,2011-02,191.58,-8.4,-4.3,-0.3,-8.6,0.3,2.77
59,-122.0353,43.4933,1818,2011-03,352.94,-5.6,-2.5,0.5,-5,0.1,1.9
59,-122.0353,43.4933,1818,2011-04,204.56,-6.2,-1.6,3,-5.6,0.14,3.97
59,-122.0353,43.4933,1818,2011-05,123.8,-2.8,2.2,7.3,-3.1,0.32,5.71
59,-122.0353,43.4933,1818,2011-06,53.87,-0.2,6.5,13.3,0.3,0.42,8.71
59,-122.0353,43.4933,1818,2011-07,32.31,2.6,10.7,18.7,2.6,1.04,12.59
59,-122.0353,43.4933,1818,2011-08,1.7,5.4,13.7,22,3,1.97,19.84
59,-122.0353,43.4933,1818,2011-09,7.95,4.2,12.2,20.2,0.2,3.88,18.58
59,-122.0353,43.4933,1818,2011-10,73.88,0.2,5.3,10.4,-1.2,0.77,6.91
59,-122.0353,43.4933,1818,2011-11,172.8,-4.8,-1.6,1.6,-5.8,0.48,2.99
59,-122.0353,43.4933,1818,2011-12,162.86,-7.6,-2.6,2.4,-9.6,0.72,4.08
59,-122.0353,43.4933,1818,2012-01,351.06,-6.9,-3.1,0.8,-8.1,0.6,2.87
59,-122.0353,43.4933,1818,2012-02,202.88,-7.6,-3.5,0.6,-7.7,0.42,2.82
59,-122.0353,43.4933,1818,2012-03,392.65,-7.2,-3,1.1,-6.8,0.4,2.87
59,-122.0353,43.4933,1818,2012-04,134.78,-3.6,1.7,7,-3.7,0.46,6.47
59,-122.0353,43.4933,1818,2012-05,102.67,-2.1,4.5,11.1,-3.3,1.02,8.77
59,-122.0353,43.4933,1818,2012-06,107.14,0.3,6.7,13.1,1,0.51,7.84
59,-122.0353,43.4933,1818,2012-07,11.5,5.3,13.2,21.1,3.6,1.66,17.2
59,-122.0353,43.4933,1818,2012-08,3.99,5.3,14.4,23.5,1.8,2.87,23.56
59,-122.0353,43.4933,1818,2012-09,0.04,3.3,12,20.8,-1.6,4.08,20.31
59,-122.0353,43.4933,1818,2012-10,133.14,-0.8,5.1,11,-3.3,1.31,9.04
59,-122.0353,43.4933,1818,2012-11,237.09,-2.6,0.5,3.5,-2.4,0.45,2.68
59,-122.0353,43.4933,1818,2012-12,417.18,-6.8,-4,-1.3,-5.9,0.2,1.01
59,-122.0353,43.4933,1818,2013-01,181.3,-9,-4.3,0.4,-9.4,0.93,3.11
59,-122.0353,43.4933,1818,2013-02,93.18,-8.1,-3.4,1.3,-7.5,0.39,3.45
59,-122.0353,43.4933,1818,2013-03,137.96,-6.1,-0.6,5,-5.5,0.39,5.21
59,-122.0353,43.4933,1818,2013-04,116.64,-3.9,1.9,7.7,-4.3,0.65,6.45
59,-122.0353,43.4933,1818,2013-05,104.02,-1.1,5.7,12.5,-1.5,0.62,9.67
59,-122.0353,43.4933,1818,2013-06,39.72,1.9,9.3,16.7,2,0.72,11.57
59,-122.0353,43.4933,1818,2013-07,2.19,6.2,15.6,24.9,2,3.42,26.95
59,-122.0353,43.4933,1818,2013-08,24.05,5.8,13.6,21.4,4.3,1.66,17.57
59,-122.0353,43.4933,1818,2013-09,177.79,4.2,10.1,16.1,2.4,1.51,12.98
59,-122.0353,43.4933,1818,2013-10,47.44,-2.3,3.6,9.5,-4.3,1.37,8.61
59,-122.0353,43.4933,1818,2013-11,143.94,-4,-0.1,3.8,-5.2,0.83,4.28
59,-122.0353,43.4933,1818,2013-12,100.35,-9.4,-4.1,1.2,-9.2,0.76,4.1
59,-122.0353,43.4933,1818,2014-01,171.39,-5.9,-0.3,5.2,-7.6,1.21,5.87
59,-122.0353,43.4933,1818,2014-02,393.18,-6,-2.7,0.5,-4.7,0.23,1.67
59,-122.0353,43.4933,1818,2014-03,326.35,-4.5,-0.1,4.4,-5.7,0.56,4.3
59,-122.0353,43.4933,1818,2014-04,118.12,-3.5,2,7.4,-4.2,0.51,6.45
59,-122.0353,43.4933,1818,2014-05,111.51,-0.5,5.9,12.4,-1.6,0.89,9.93
59,-122.0353,43.4933,1818,2014-06,47.5,1.5,8.4,15.3,0.5,0.89,11.46
59,-122.0353,43.4933,1818,2014-07,28.78,7.6,15.8,23.9,4.4,2.72,23.45
59,-122.0353,43.4933,1818,2014-08,19.1,6.9,14.2,21.4,4.3,2.09,17.69
59,-122.0353,43.4933,1818,2014-09,42.41,4.3,11.7,19.1,0.2,2.33,16.34
59,-122.0353,43.4933,1818,2014-10,141.52,0.9,6.5,12,-0.1,1.21,8.97
59,-122.0353,43.4933,1818,2014-11,267.83,-3.9,-0.3,3.3,-3.3,0.44,3.19
59,-122.0353,43.4933,1818,2014-12,352.57,-3.9,-1.5,1,-3.3,0.22,0.91
59,-122.0353,43.4933,1818,2015-01,78.93,-4.1,0.4,4.9,-4.6,1.11,4.68
59,-122.0353,43.4933,1818,2015-02,154.84,-3,1.2,5.4,-5.2,0.72,5.36
59,-122.0353,43.4933,1818,2015-03,115.43,-3.8,2.2,8.2,-5,0.75,7.15
59,-122.0353,43.4933,1818,2015-04,88.27,-4.3,1.4,7.1,-5.3,0.7,6.87
59,-122.0353,43.4933,1818,2015-05,75.22,0.5,6.4,12.3,-0.3,0.84,8.43
59,-122.0353,43.4933,1818,2015-06,22.77,5,12.9,20.9,2.5,2.33,17.34
59,-122.0353,43.4933,1818,2015-07,20.35,7,14.6,22.2,3.7,2.69,20.66
59,-122.0353,43.4933,1818,2015-08,7.95,6.5,14.5,22.5,1.9,3.23,21
59,-122.0353,43.4933,1818,2015-09,27.91,2.3,9.5,16.7,0.1,1.96,13.91
59,-122.0353,43.4933,1818,2015-10,47.08,1.6,7.8,13.9,-0.3,2.05,10.99
59,-122.0353,43.4933,1818,2015-11,197.62,-5.4,-1.7,1.9,-5.4,0.46,2.64
59,-122.0353,43.4933,1818,2015-12,554.72,-6.3,-3.5,-0.6,-5.1,0.17,0.89
59,-122.0353,43.4933,1818,2016-01,258.99,-6.8,-3.8,-0.8,-5.6,0.2,0.83
59,-122.0353,43.4933,1818,2016-02,135.35,-5,-0.7,3.6,-4.2,0.3,3.45
59,-122.0353,43.4933,1818,2016-03,267.41,-4.8,-0.8,3.2,-4.2,0.34,3.29
59,-122.0353,43.4933,1818,2016-04,98.05,-2.6,4,10.5,-2.4,0.7,9.77
59,-122.0353,43.4933,1818,2016-05,41.67,-0.4,5.9,12.1,-0.3,0.53,8.47
59,-122.0353,43.4933,1818,2016-06,43.18,2.2,9.6,17.1,1.5,1.08,13.65
59,-122.0353,43.4933,1818,2016-07,32.21,4.7,12.3,20,3,1.82,15.01
59,-122.0353,43.4933,1818,2016-08,0,5.3,14.2,23.1,0.5,3.23,22.14
59,-122.0353,43.4933,1818,2016-09,26.6,2,9.1,16.2,-0.5,1.62,13.13
59,-122.0353,43.4933,1818,2016-10,262.73,0.1,3.5,6.9,0.4,0.39,3.66
59,-122.0353,43.4933,1818,2016-11,151.48,-2,1.4,4.8,-1.9,0.43,3.53
59,-122.0353,43.4933,1818,2016-12,342.29,-10.6,-6.4,-2.3,-8,0.18,0.87
59,-122.0353,43.4933,1818,2017-01,231.73,-10.7,-6.5,-2.4,-9,0.19,1.17
59,-122.0353,43.4933,1818,2017-02,328.2,-6.1,-3.1,0,-5.7,0.31,1.66
59,-122.0353,43.4933,1818,2017-03,350.73,-3.8,-0.3,3.3,-3.2,0.24,2.77
59,-122.0353,43.4933,1818,2017-04,152.53,-4.7,0.1,5,-4.4,0.28,4.35
59,-122.0353,43.4933,1818,2017-05,73.4,-2,5.6,13.1,-1.3,0.63,10.6
59,-122.0353,43.4933,1818,2017-06,52.15,1.7,9.3,16.9,1.8,0.89,12.56
59,-122.0353,43.4933,1818,2017-07,1.14,6.2,15.1,24,3.5,2.21,21.85
59,-122.0353,43.4933,1818,2017-08,4.81,7.3,16,24.8,2.2,4.32,24.8
59,-122.0353,43.4933,1818,2017-09,73.58,4.4,11.2,18,1.6,3.13,16.19
59,-122.0353,43.4933,1818,2017-10,129.3,-1.5,3.6,8.7,-3,0.87,7.07
59,-122.0353,43.4933,1818,2017-11,272.54,-4,-0.9,2.1,-3.3,0.32,2.18
59,-122.0353,43.4933,1818,2017-12,95.27,-7.4,-2.4,2.5,-7.8,0.79,5.13
59,-122.0353,43.4933,1818,2018-01,190.04,-4.2,-1.1,2.1,-3.5,0.26,2.23
59,-122.0353,43.4933,1818,2018-02,164.62,-8.2,-3.9,0.4,-7.4,0.32,2.71
59,-122.0353,43.4933,1818,2018-03,136.4,-6.9,-2.3,2.2,-6.6,0.28,3.16
59,-122.0353,43.4933,1818,2018-04,125.32,-3.5,1.6,6.7,-3.8,0.6,5.52
59,-122.0353,43.4933,1818,2018-05,37.63,0.3,7.2,14,1.2,0.41,9.25
